sku_id,on_hand_units,avg_weekly_demand,weeks_of_supply,excess_units,excess_value
SKU-002,87.0,10.60893251534505,20.64298172160417,0.0,0.0
SKU-007,0.0,5.79674095734108,18.631158575962786,0.0,0.0
SKU-009,76.0,4.694962759548214,16.187561838576396,19.660446885421436,1580.31
SKU-011,65.0,4.766515235766727,13.636796859948419,7.801817170799275,767.46
SKU-023,70.0,4.122964600868527,16.978074462549127,20.52442478957768,642.0
SKU-029,157.0,7.197918624037483,21.811860928199128,70.62497651155022,3377.29
SKU-030,26.0,10.745319507069874,12.842800989696304,0.0,0.0
SKU-039,78.0,3.591154571902235,21.720034166806524,34.90614513717318,1137.24
SKU-041,73.0,2.6128982797856364,27.938324489994674,41.64522064257236,1143.16
SKU-044,139.0,1.7991238647571635,77.2598278099999,117.41051362291404,6738.19
SKU-046,10.0,5.6700259067113805,14.462015050573212,0.0,0.0
SKU-048,105.0,13.276573047138665,18.45355718905202,0.0,0.0
SKU-050,2.0,2.875517316590207,18.083702608914102,0.0,0.0
SKU-055,38.0,11.67537614056173,13.704055276141366,0.0,0.0
SKU-057,52.0,14.792273098463665,12.844543819281807,0.0,0.0
