sku_id,week_start_date,weekly_units,unit_price,promo_flag,revenue,category,subcategory,unit_cost,list_price,launch_date
SKU-001,2024-01-01,27.0,159.1775,1,4168.53,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-01-08,8.0,185.03,0,1480.24,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-01-15,12.0,185.03,0,2220.36,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-01-22,14.0,185.03,0,3145.51,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-01-29,11.0,185.03,0,2035.33,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-02-05,11.0,185.03,0,2035.33,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-02-12,22.0,163.42499999999998,1,3494.59,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-02-19,12.0,177.66750000000002,1,2132.01,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-02-26,10.0,185.03,0,1850.3,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-03-04,14.0,185.03,0,2590.42,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-03-11,23.0,173.52166666666668,1,4126.83,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-03-18,20.0,164.61166666666668,1,3137.5199999999995,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-03-25,11.0,185.03,0,2035.33,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-04-01,24.0,185.03,0,4440.72,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-04-08,18.0,185.03,0,3330.54,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-04-15,31.0,185.03,0,5735.93,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-04-22,13.0,185.03,0,2405.39,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-04-29,17.0,185.03,0,3145.51,Furniture,Tables,85.91,185.03,2022-07-11
SKU-001,2024-05-06,11.0,185.03,0,2035.33,Furniture,Tables,85.91,185.03,2022-07-11
